file,class
E:\football_v\.venv\Lib\site-packages\pip\_vendor\cachecontrol\caches\redis_cache.py,RedisCache
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,ZipExtFile
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,ZipFile
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,CertificateError
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,Container
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,ChainMap
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,OrderedDict
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,ConvertingDict
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,ConvertingList
E:\football_v\.venv\Lib\site-packages\pip\_vendor\distlib\compat.py,ConvertingTuple
